time,order_id,status,current_node,pickup_node,delivery_node
0.0,"1000-(0, 1)",Placed,0.0,0,1
0.0,"1000-(0, 1)",Placed,0.0,0,1
0.0,"1000-(0, 1)",Assigned,0.0,0,1
0.0,"1000-(0, 1)",En Route,0.0,0,1
35.0,"1000-(0, 1)",En Route,1.0,0,1
35.0,"1000-(0, 1)",Delivered,1.0,0,1
0.0,"1001-(0, 2)",Placed,0.0,0,2
0.0,"1001-(0, 2)",Placed,0.0,0,2
0.0,"1001-(0, 2)",Assigned,0.0,0,2
0.0,"1001-(0, 2)",En Route,0.0,0,2
775.0,"1001-(0, 2)",En Route,2.0,0,2
775.0,"1001-(0, 2)",Delivered,2.0,0,2
0.0,"1002-(0, 3)",Placed,0.0,0,3
0.0,"1002-(0, 3)",Placed,0.0,0,3
0.0,"1002-(0, 3)",Assigned,0.0,0,3
0.0,"1002-(0, 3)",En Route,0.0,0,3
49.0,"1002-(0, 3)",En Route,3.0,0,3
49.0,"1002-(0, 3)",Delivered,3.0,0,3
0.0,"1003-(0, 4)",Placed,0.0,0,4
0.0,"1003-(0, 4)",Placed,0.0,0,4
0.0,"1003-(0, 4)",Assigned,0.0,0,4
0.0,"1003-(0, 4)",En Route,0.0,0,4
201.0,"1003-(0, 4)",En Route,4.0,0,4
201.0,"1003-(0, 4)",Delivered,4.0,0,4
0.0,"1004-(0, 5)",Placed,0.0,0,5
0.0,"1004-(0, 5)",Placed,0.0,0,5
0.0,"1004-(0, 5)",Assigned,0.0,0,5
0.0,"1004-(0, 5)",En Route,0.0,0,5
163.0,"1004-(0, 5)",En Route,5.0,0,5
163.0,"1004-(0, 5)",Delivered,5.0,0,5
0.0,"1005-(0, 6)",Placed,0.0,0,6
0.0,"1005-(0, 6)",Placed,0.0,0,6
0.0,"1005-(0, 6)",Assigned,0.0,0,6
0.0,"1005-(0, 6)",En Route,0.0,0,6
101.0,"1005-(0, 6)",En Route,6.0,0,6
101.0,"1005-(0, 6)",Delivered,6.0,0,6
0.0,"1006-(0, 7)",Placed,0.0,0,7
0.0,"1006-(0, 7)",Placed,0.0,0,7
251.0,"1006-(0, 7)",Assigned,0.0,0,7
341.0,"1006-(0, 7)",En Route,,0,7
382.0,"1006-(0, 7)",En Route,7.0,0,7
382.0,"1006-(0, 7)",Delivered,7.0,0,7
0.0,"1007-(0, 8)",Placed,0.0,0,8
0.0,"1007-(0, 8)",Placed,0.0,0,8
0.0,"1007-(0, 8)",Assigned,0.0,0,8
0.0,"1007-(0, 8)",En Route,0.0,0,8
320.0,"1007-(0, 8)",En Route,8.0,0,8
320.0,"1007-(0, 8)",Delivered,8.0,0,8
0.0,"1008-(0, 9)",Placed,0.0,0,9
0.0,"1008-(0, 9)",Placed,0.0,0,9
0.0,"1008-(0, 9)",Assigned,0.0,0,9
0.0,"1008-(0, 9)",En Route,0.0,0,9
198.0,"1008-(0, 9)",En Route,9.0,0,9
198.0,"1008-(0, 9)",Delivered,9.0,0,9
0.0,"1009-(0, 10)",Placed,0.0,0,10
0.0,"1009-(0, 10)",Placed,0.0,0,10
0.0,"1009-(0, 10)",Assigned,0.0,0,10
0.0,"1009-(0, 10)",En Route,0.0,0,10
111.0,"1009-(0, 10)",En Route,10.0,0,10
111.0,"1009-(0, 10)",Delivered,10.0,0,10
0.0,"1010-(0, 11)",Placed,0.0,0,11
0.0,"1010-(0, 11)",Placed,0.0,0,11
0.0,"1010-(0, 11)",Assigned,0.0,0,11
0.0,"1010-(0, 11)",En Route,0.0,0,11
389.0,"1010-(0, 11)",En Route,11.0,0,11
389.0,"1010-(0, 11)",Delivered,11.0,0,11
0.0,"1011-(0, 12)",Placed,0.0,0,12
0.0,"1011-(0, 12)",Placed,0.0,0,12
0.0,"1011-(0, 12)",Assigned,0.0,0,12
0.0,"1011-(0, 12)",En Route,0.0,0,12
85.0,"1011-(0, 12)",En Route,12.0,0,12
85.0,"1011-(0, 12)",Delivered,12.0,0,12
0.0,"1012-(0, 13)",Placed,0.0,0,13
0.0,"1012-(0, 13)",Placed,0.0,0,13
0.0,"1012-(0, 13)",Assigned,0.0,0,13
0.0,"1012-(0, 13)",En Route,0.0,0,13
120.0,"1012-(0, 13)",En Route,13.0,0,13
120.0,"1012-(0, 13)",Delivered,13.0,0,13
0.0,"1013-(0, 14)",Placed,0.0,0,14
0.0,"1013-(0, 14)",Placed,0.0,0,14
0.0,"1013-(0, 14)",Assigned,0.0,0,14
0.0,"1013-(0, 14)",En Route,0.0,0,14
373.0,"1013-(0, 14)",En Route,14.0,0,14
373.0,"1013-(0, 14)",Delivered,14.0,0,14
0.0,"1014-(0, 15)",Placed,0.0,0,15
0.0,"1014-(0, 15)",Placed,0.0,0,15
0.0,"1014-(0, 15)",Assigned,0.0,0,15
0.0,"1014-(0, 15)",En Route,0.0,0,15
171.0,"1014-(0, 15)",En Route,15.0,0,15
171.0,"1014-(0, 15)",Delivered,15.0,0,15
0.0,"1015-(0, 16)",Placed,0.0,0,16
0.0,"1015-(0, 16)",Placed,0.0,0,16
0.0,"1015-(0, 16)",Assigned,0.0,0,16
0.0,"1015-(0, 16)",En Route,0.0,0,16
108.0,"1015-(0, 16)",En Route,16.0,0,16
108.0,"1015-(0, 16)",Delivered,16.0,0,16
0.0,"1016-(0, 17)",Placed,0.0,0,17
0.0,"1016-(0, 17)",Placed,0.0,0,17
0.0,"1016-(0, 17)",Assigned,0.0,0,17
0.0,"1016-(0, 17)",En Route,0.0,0,17
66.0,"1016-(0, 17)",En Route,17.0,0,17
66.0,"1016-(0, 17)",Delivered,17.0,0,17
0.0,"1017-(0, 18)",Placed,0.0,0,18
0.0,"1017-(0, 18)",Placed,0.0,0,18
0.0,"1017-(0, 18)",Assigned,0.0,0,18
0.0,"1017-(0, 18)",En Route,0.0,0,18
218.0,"1017-(0, 18)",En Route,18.0,0,18
218.0,"1017-(0, 18)",Delivered,18.0,0,18
0.0,"1018-(0, 19)",Placed,0.0,0,19
0.0,"1018-(0, 19)",Placed,0.0,0,19
0.0,"1018-(0, 19)",Assigned,0.0,0,19
0.0,"1018-(0, 19)",En Route,0.0,0,19
172.0,"1018-(0, 19)",En Route,19.0,0,19
172.0,"1018-(0, 19)",Delivered,19.0,0,19
0.0,"1019-(0, 20)",Placed,0.0,0,20
0.0,"1019-(0, 20)",Placed,0.0,0,20
0.0,"1019-(0, 20)",Assigned,0.0,0,20
0.0,"1019-(0, 20)",En Route,0.0,0,20
112.0,"1019-(0, 20)",En Route,20.0,0,20
112.0,"1019-(0, 20)",Delivered,20.0,0,20
0.0,"1020-(0, 21)",Placed,0.0,0,21
0.0,"1020-(0, 21)",Placed,0.0,0,21
0.0,"1020-(0, 21)",Assigned,0.0,0,21
0.0,"1020-(0, 21)",En Route,0.0,0,21
517.0,"1020-(0, 21)",En Route,21.0,0,21
517.0,"1020-(0, 21)",Delivered,21.0,0,21
0.0,"1021-(0, 22)",Placed,0.0,0,22
0.0,"1021-(0, 22)",Placed,0.0,0,22
0.0,"1021-(0, 22)",Assigned,0.0,0,22
0.0,"1021-(0, 22)",En Route,0.0,0,22
311.0,"1021-(0, 22)",En Route,22.0,0,22
311.0,"1021-(0, 22)",Delivered,22.0,0,22
0.0,"1022-(0, 23)",Placed,0.0,0,23
0.0,"1022-(0, 23)",Placed,0.0,0,23
0.0,"1022-(0, 23)",Assigned,0.0,0,23
0.0,"1022-(0, 23)",En Route,0.0,0,23
221.0,"1022-(0, 23)",En Route,23.0,0,23
221.0,"1022-(0, 23)",Delivered,23.0,0,23
0.0,"1023-(0, 24)",Placed,0.0,0,24
0.0,"1023-(0, 24)",Placed,0.0,0,24
0.0,"1023-(0, 24)",Assigned,0.0,0,24
0.0,"1023-(0, 24)",En Route,0.0,0,24
221.0,"1023-(0, 24)",En Route,24.0,0,24
221.0,"1023-(0, 24)",Delivered,24.0,0,24
0.0,"1024-(0, 25)",Placed,0.0,0,25
0.0,"1024-(0, 25)",Placed,0.0,0,25
0.0,"1024-(0, 25)",Assigned,0.0,0,25
0.0,"1024-(0, 25)",En Route,0.0,0,25
85.0,"1024-(0, 25)",En Route,25.0,0,25
85.0,"1024-(0, 25)",Delivered,25.0,0,25
0.0,"1025-(0, 26)",Placed,0.0,0,26
0.0,"1025-(0, 26)",Placed,0.0,0,26
0.0,"1025-(0, 26)",Assigned,0.0,0,26
0.0,"1025-(0, 26)",En Route,0.0,0,26
584.0,"1025-(0, 26)",En Route,26.0,0,26
584.0,"1025-(0, 26)",Delivered,26.0,0,26
0.0,"1026-(0, 27)",Placed,0.0,0,27
0.0,"1026-(0, 27)",Placed,0.0,0,27
0.0,"1026-(0, 27)",Assigned,0.0,0,27
0.0,"1026-(0, 27)",En Route,0.0,0,27
271.0,"1026-(0, 27)",En Route,27.0,0,27
271.0,"1026-(0, 27)",Delivered,27.0,0,27
0.0,"1027-(0, 28)",Placed,0.0,0,28
0.0,"1027-(0, 28)",Placed,0.0,0,28
0.0,"1027-(0, 28)",Assigned,0.0,0,28
0.0,"1027-(0, 28)",En Route,0.0,0,28
76.0,"1027-(0, 28)",En Route,28.0,0,28
76.0,"1027-(0, 28)",Delivered,28.0,0,28
0.0,"1028-(0, 29)",Placed,0.0,0,29
0.0,"1028-(0, 29)",Placed,0.0,0,29
0.0,"1028-(0, 29)",Assigned,0.0,0,29
0.0,"1028-(0, 29)",En Route,0.0,0,29
390.0,"1028-(0, 29)",En Route,29.0,0,29
390.0,"1028-(0, 29)",Delivered,29.0,0,29
0.0,"1029-(0, 30)",Placed,0.0,0,30
0.0,"1029-(0, 30)",Placed,0.0,0,30
0.0,"1029-(0, 30)",Assigned,0.0,0,30
0.0,"1029-(0, 30)",En Route,0.0,0,30
262.0,"1029-(0, 30)",En Route,30.0,0,30
262.0,"1029-(0, 30)",Delivered,30.0,0,30
0.0,"1030-(0, 31)",Placed,0.0,0,31
0.0,"1030-(0, 31)",Placed,0.0,0,31
0.0,"1030-(0, 31)",Assigned,0.0,0,31
0.0,"1030-(0, 31)",En Route,0.0,0,31
67.0,"1030-(0, 31)",En Route,31.0,0,31
67.0,"1030-(0, 31)",Delivered,31.0,0,31
0.0,"1031-(0, 32)",Placed,0.0,0,32
0.0,"1031-(0, 32)",Placed,0.0,0,32
0.0,"1031-(0, 32)",Assigned,0.0,0,32
0.0,"1031-(0, 32)",En Route,0.0,0,32
219.0,"1031-(0, 32)",En Route,32.0,0,32
219.0,"1031-(0, 32)",Delivered,32.0,0,32
0.0,"1032-(0, 33)",Placed,0.0,0,33
0.0,"1032-(0, 33)",Placed,0.0,0,33
0.0,"1032-(0, 33)",Assigned,0.0,0,33
0.0,"1032-(0, 33)",En Route,0.0,0,33
141.0,"1032-(0, 33)",En Route,33.0,0,33
141.0,"1032-(0, 33)",Delivered,33.0,0,33
0.0,"1033-(0, 34)",Placed,0.0,0,34
0.0,"1033-(0, 34)",Placed,0.0,0,34
0.0,"1033-(0, 34)",Assigned,0.0,0,34
0.0,"1033-(0, 34)",En Route,0.0,0,34
76.0,"1033-(0, 34)",En Route,34.0,0,34
76.0,"1033-(0, 34)",Delivered,34.0,0,34
0.0,"1034-(0, 35)",Placed,0.0,0,35
0.0,"1034-(0, 35)",Placed,0.0,0,35
0.0,"1034-(0, 35)",Assigned,0.0,0,35
0.0,"1034-(0, 35)",En Route,0.0,0,35
378.0,"1034-(0, 35)",En Route,35.0,0,35
378.0,"1034-(0, 35)",Delivered,35.0,0,35
0.0,"1035-(0, 36)",Placed,0.0,0,36
0.0,"1035-(0, 36)",Placed,0.0,0,36
0.0,"1035-(0, 36)",Assigned,0.0,0,36
0.0,"1035-(0, 36)",En Route,0.0,0,36
193.0,"1035-(0, 36)",En Route,36.0,0,36
193.0,"1035-(0, 36)",Delivered,36.0,0,36
0.0,"1036-(0, 37)",Placed,0.0,0,37
0.0,"1036-(0, 37)",Placed,0.0,0,37
0.0,"1036-(0, 37)",Assigned,0.0,0,37
0.0,"1036-(0, 37)",En Route,0.0,0,37
251.0,"1036-(0, 37)",En Route,37.0,0,37
251.0,"1036-(0, 37)",Delivered,37.0,0,37
0.0,"1037-(0, 38)",Placed,0.0,0,38
0.0,"1037-(0, 38)",Placed,0.0,0,38
0.0,"1037-(0, 38)",Assigned,0.0,0,38
0.0,"1037-(0, 38)",En Route,0.0,0,38
201.0,"1037-(0, 38)",En Route,38.0,0,38
201.0,"1037-(0, 38)",Delivered,38.0,0,38
0.0,"1038-(0, 39)",Placed,0.0,0,39
0.0,"1038-(0, 39)",Placed,0.0,0,39
0.0,"1038-(0, 39)",Assigned,0.0,0,39
0.0,"1038-(0, 39)",En Route,0.0,0,39
139.0,"1038-(0, 39)",En Route,39.0,0,39
139.0,"1038-(0, 39)",Delivered,39.0,0,39
0.0,"1039-(0, 40)",Placed,0.0,0,40
0.0,"1039-(0, 40)",Placed,0.0,0,40
0.0,"1039-(0, 40)",Assigned,0.0,0,40
0.0,"1039-(0, 40)",En Route,0.0,0,40
324.0,"1039-(0, 40)",En Route,40.0,0,40
324.0,"1039-(0, 40)",Delivered,40.0,0,40
0.0,"1040-(0, 41)",Placed,0.0,0,41
0.0,"1040-(0, 41)",Placed,0.0,0,41
0.0,"1040-(0, 41)",Assigned,0.0,0,41
0.0,"1040-(0, 41)",En Route,0.0,0,41
296.0,"1040-(0, 41)",En Route,41.0,0,41
296.0,"1040-(0, 41)",Delivered,41.0,0,41
0.0,"1041-(0, 42)",Placed,0.0,0,42
0.0,"1041-(0, 42)",Placed,0.0,0,42
0.0,"1041-(0, 42)",Assigned,0.0,0,42
0.0,"1041-(0, 42)",En Route,0.0,0,42
497.0,"1041-(0, 42)",En Route,42.0,0,42
497.0,"1041-(0, 42)",Delivered,42.0,0,42
0.0,"1042-(0, 43)",Placed,0.0,0,43
0.0,"1042-(0, 43)",Placed,0.0,0,43
0.0,"1042-(0, 43)",Assigned,0.0,0,43
0.0,"1042-(0, 43)",En Route,0.0,0,43
133.0,"1042-(0, 43)",En Route,43.0,0,43
133.0,"1042-(0, 43)",Delivered,43.0,0,43
0.0,"1043-(0, 44)",Placed,0.0,0,44
0.0,"1043-(0, 44)",Placed,0.0,0,44
0.0,"1043-(0, 44)",Assigned,0.0,0,44
0.0,"1043-(0, 44)",En Route,0.0,0,44
392.0,"1043-(0, 44)",En Route,44.0,0,44
392.0,"1043-(0, 44)",Delivered,44.0,0,44
0.0,"1044-(0, 45)",Placed,0.0,0,45
0.0,"1044-(0, 45)",Placed,0.0,0,45
0.0,"1044-(0, 45)",Assigned,0.0,0,45
0.0,"1044-(0, 45)",En Route,0.0,0,45
268.0,"1044-(0, 45)",En Route,45.0,0,45
268.0,"1044-(0, 45)",Delivered,45.0,0,45
0.0,"1045-(0, 46)",Placed,0.0,0,46
