time,order_id,status,current_node,pickup_node,delivery_node
0.0,"1000-(43, 34)",Placed,43.0,43,34
0.0,"1000-(43, 34)",Placed,43.0,43,34
0.0,"1000-(43, 34)",Assigned,43.0,43,34
0.0,"1000-(43, 34)",Assigned,43.0,43,34
221.0,"1000-(43, 34)",En Route,,43,34
913.0,"1000-(43, 34)",En Route,34.0,43,34
913.0,"1000-(43, 34)",Delivered,34.0,43,34
0.0,"1001-(57, 28)",Placed,57.0,57,28
0.0,"1001-(57, 28)",Placed,57.0,57,28
0.0,"1001-(57, 28)",Assigned,57.0,57,28
0.0,"1001-(57, 28)",Assigned,57.0,57,28
244.0,"1001-(57, 28)",En Route,,57,28
1520.0,"1001-(57, 28)",En Route,28.0,57,28
1520.0,"1001-(57, 28)",Delivered,28.0,57,28
0.0,"1002-(57, 53)",Placed,57.0,57,53
0.0,"1002-(57, 53)",Placed,57.0,57,53
0.0,"1002-(57, 53)",Assigned,57.0,57,53
0.0,"1002-(57, 53)",Assigned,57.0,57,53
244.0,"1002-(57, 53)",En Route,57.0,57,53
1275.0,"1002-(57, 53)",En Route,53.0,57,53
1275.0,"1002-(57, 53)",Delivered,53.0,57,53
0.0,"1003-(43, 25)",Placed,43.0,43,25
0.0,"1003-(43, 25)",Placed,43.0,43,25
0.0,"1003-(43, 25)",Assigned,43.0,43,25
0.0,"1003-(43, 25)",Assigned,43.0,43,25
716.0,"1003-(43, 25)",Delivered,43.0,43,25
0.0,"1003_1-(43, 39)",Placed,43.0,43,39
0.0,"1003_1-(43, 39)",Placed,43.0,43,39
0.0,"1003_1-(43, 39)",Assigned,43.0,43,39
0.0,"1003_1-(43, 39)",Assigned,43.0,43,39
0.0,"1003_1-(43, 39)",En Route,,43,39
648.0,"1003_1-(43, 39)",En Route,39.0,43,39
648.0,"1003_1-(43, 39)",Delivered,39.0,43,39
648.0,"1003_1-(43, 39)",Delivered,39.0,43,39
716.0,"1003_1-(43, 39)",Delivered,39.0,43,39
716.0,"1003_1-(43, 39)",Delivered,39.0,43,39
0.0,"1003_2-(39, 25)",Placed,39.0,39,25
0.0,"1003_2-(39, 25)",Assigned,39.0,39,25
0.0,"1003_2-(39, 25)",Assigned,39.0,39,25
0.0,"1003_2-(39, 25)",Assigned,39.0,39,25
0.0,"1003_2-(39, 25)",Assigned,39.0,39,25
648.0,"1003_2-(39, 25)",Assigned,39.0,39,25
648.0,"1003_2-(39, 25)",Assigned,39.0,39,25
648.0,"1003_2-(39, 25)",En Route,39.0,39,25
716.0,"1003_2-(39, 25)",En Route,25.0,39,25
716.0,"1003_2-(39, 25)",Delivered,25.0,39,25
0.0,"1004-(57, 37)",Placed,57.0,57,37
0.0,"1004-(57, 37)",Placed,57.0,57,37
0.0,"1004-(57, 37)",Assigned,57.0,57,37
0.0,"1004-(57, 37)",Assigned,57.0,57,37
275.0,"1004-(57, 37)",En Route,,57,37
1219.0,"1004-(57, 37)",En Route,37.0,57,37
1219.0,"1004-(57, 37)",Delivered,37.0,57,37
0.0,"1005-(46, 59)",Placed,46.0,46,59
0.0,"1005-(46, 59)",Placed,46.0,46,59
0.0,"1005-(46, 59)",Assigned,46.0,46,59
0.0,"1005-(46, 59)",Assigned,46.0,46,59
27.0,"1005-(46, 59)",En Route,46.0,46,59
681.0,"1005-(46, 59)",En Route,59.0,46,59
681.0,"1005-(46, 59)",Delivered,59.0,46,59
0.0,"1006-(46, 23)",Placed,46.0,46,23
0.0,"1006-(46, 23)",Placed,46.0,46,23
0.0,"1006-(46, 23)",Assigned,46.0,46,23
0.0,"1006-(46, 23)",Assigned,46.0,46,23
27.0,"1006-(46, 23)",En Route,46.0,46,23
1256.0,"1006-(46, 23)",En Route,23.0,46,23
1256.0,"1006-(46, 23)",Delivered,23.0,46,23
0.0,"1007-(43, 4)",Placed,43.0,43,4
0.0,"1007-(43, 4)",Placed,43.0,43,4
0.0,"1007-(43, 4)",Assigned,43.0,43,4
0.0,"1007-(43, 4)",Assigned,43.0,43,4
27.0,"1007-(43, 4)",En Route,43.0,43,4
472.0,"1007-(43, 4)",En Route,4.0,43,4
472.0,"1007-(43, 4)",Delivered,4.0,43,4
0.0,"1008-(57, 34)",Placed,57.0,57,34
0.0,"1008-(57, 34)",Placed,57.0,57,34
0.0,"1008-(57, 34)",Assigned,57.0,57,34
0.0,"1008-(57, 34)",Assigned,57.0,57,34
244.0,"1008-(57, 34)",En Route,57.0,57,34
1111.0,"1008-(57, 34)",En Route,34.0,57,34
1111.0,"1008-(57, 34)",Delivered,34.0,57,34
0.0,"1009-(46, 6)",Placed,46.0,46,6
0.0,"1009-(46, 6)",Placed,46.0,46,6
0.0,"1009-(46, 6)",Assigned,46.0,46,6
0.0,"1009-(46, 6)",Assigned,46.0,46,6
27.0,"1009-(46, 6)",En Route,46.0,46,6
331.0,"1009-(46, 6)",En Route,6.0,46,6
331.0,"1009-(46, 6)",Delivered,6.0,46,6
0.0,"1010-(57, 18)",Placed,57.0,57,18
0.0,"1010-(57, 18)",Placed,57.0,57,18
0.0,"1010-(57, 18)",Assigned,57.0,57,18
0.0,"1010-(57, 18)",Assigned,57.0,57,18
1304.0,"1010-(57, 18)",Delivered,57.0,57,18
0.0,"1010_1-(57, 47)",Placed,57.0,57,47
0.0,"1010_1-(57, 47)",Placed,57.0,57,47
0.0,"1010_1-(57, 47)",Assigned,57.0,57,47
0.0,"1010_1-(57, 47)",Assigned,57.0,57,47
248.0,"1010_1-(57, 47)",En Route,57.0,57,47
1018.0,"1010_1-(57, 47)",En Route,47.0,57,47
1018.0,"1010_1-(57, 47)",Delivered,47.0,57,47
1018.0,"1010_1-(57, 47)",Delivered,47.0,57,47
1304.0,"1010_1-(57, 47)",Delivered,47.0,57,47
1304.0,"1010_1-(57, 47)",Delivered,47.0,57,47
0.0,"1010_2-(47, 18)",Placed,47.0,47,18
0.0,"1010_2-(47, 18)",Assigned,47.0,47,18
0.0,"1010_2-(47, 18)",Assigned,47.0,47,18
0.0,"1010_2-(47, 18)",Assigned,47.0,47,18
248.0,"1010_2-(47, 18)",Assigned,47.0,47,18
1018.0,"1010_2-(47, 18)",Assigned,47.0,47,18
1018.0,"1010_2-(47, 18)",Assigned,47.0,47,18
1018.0,"1010_2-(47, 18)",En Route,,47,18
1304.0,"1010_2-(47, 18)",En Route,18.0,47,18
1304.0,"1010_2-(47, 18)",Delivered,18.0,47,18
0.0,"1011-(57, 50)",Placed,57.0,57,50
0.0,"1011-(57, 50)",Placed,57.0,57,50
0.0,"1011-(57, 50)",Assigned,57.0,57,50
0.0,"1011-(57, 50)",Assigned,57.0,57,50
1485.0,"1011-(57, 50)",Delivered,57.0,57,50
0.0,"1011_1-(57, 47)",Placed,57.0,57,47
0.0,"1011_1-(57, 47)",Placed,57.0,57,47
0.0,"1011_1-(57, 47)",Assigned,57.0,57,47
0.0,"1011_1-(57, 47)",Assigned,57.0,57,47
248.0,"1011_1-(57, 47)",En Route,57.0,57,47
1018.0,"1011_1-(57, 47)",En Route,47.0,57,47
1018.0,"1011_1-(57, 47)",Delivered,47.0,57,47
1018.0,"1011_1-(57, 47)",Delivered,47.0,57,47
1485.0,"1011_1-(57, 47)",Delivered,47.0,57,47
1485.0,"1011_1-(57, 47)",Delivered,47.0,57,47
0.0,"1011_2-(47, 50)",Placed,47.0,47,50
0.0,"1011_2-(47, 50)",Assigned,47.0,47,50
0.0,"1011_2-(47, 50)",Assigned,47.0,47,50
0.0,"1011_2-(47, 50)",Assigned,47.0,47,50
248.0,"1011_2-(47, 50)",Assigned,47.0,47,50
1018.0,"1011_2-(47, 50)",Assigned,47.0,47,50
1018.0,"1011_2-(47, 50)",Assigned,47.0,47,50
1018.0,"1011_2-(47, 50)",En Route,47.0,47,50
1485.0,"1011_2-(47, 50)",En Route,50.0,47,50
1485.0,"1011_2-(47, 50)",Delivered,50.0,47,50
0.0,"1012-(46, 34)",Placed,46.0,46,34
0.0,"1012-(46, 34)",Placed,46.0,46,34
0.0,"1012-(46, 34)",Assigned,46.0,46,34
0.0,"1012-(46, 34)",Assigned,46.0,46,34
2020.0,"1012-(46, 34)",Delivered,46.0,46,34
0.0,"1012_1-(46, 19)",Placed,46.0,46,19
0.0,"1012_1-(46, 19)",Placed,46.0,46,19
0.0,"1012_1-(46, 19)",Assigned,46.0,46,19
0.0,"1012_1-(46, 19)",Assigned,46.0,46,19
0.0,"1012_1-(46, 19)",En Route,,46,19
437.0,"1012_1-(46, 19)",En Route,19.0,46,19
437.0,"1012_1-(46, 19)",Delivered,19.0,46,19
1787.0,"1012_1-(46, 19)",Delivered,19.0,46,19
2020.0,"1012_1-(46, 19)",Delivered,19.0,46,19
2020.0,"1012_1-(46, 19)",Delivered,19.0,46,19
0.0,"1012_2-(19, 34)",Placed,19.0,19,34
0.0,"1012_2-(19, 34)",Assigned,19.0,19,34
0.0,"1012_2-(19, 34)",Assigned,19.0,19,34
0.0,"1012_2-(19, 34)",Assigned,19.0,19,34
0.0,"1012_2-(19, 34)",Assigned,19.0,19,34
437.0,"1012_2-(19, 34)",Assigned,19.0,19,34
