order_id,planned_pickup,planned_delivery,final_status,time_placed,actual_pickup_node,time_picked_up,actual_delivery_node,time_delivered,assigned_vehicle
1000,0,1,Delivered,0.0,,0.0,1.0,234.0,10001
1001,0,1,Delivered,0.0,,0.0,1.0,549.0,20003
1002,0,1,Delivered,0.0,,0.0,1.0,422.0,20004
1003,0,1,Delivered,0.0,,0.0,1.0,423.0,20004
1004,0,1,Delivered,0.0,,0.0,1.0,235.0,10001
1005,0,1,Delivered,0.0,,0.0,1.0,1019.0,20000
1006,0,1,Delivered,0.0,,0.0,1.0,2629.0,10002
1007,0,1,Delivered,0.0,,1033.0,1.0,2630.0,10002
1008,0,1,Delivered,0.0,,1033.0,1.0,2631.0,10002
1009,0,1,Delivered,0.0,,1033.0,1.0,2632.0,10002
1010,0,1,Delivered,0.0,,1033.0,1.0,2633.0,10002
1011,0,1,Delivered,0.0,,1033.0,1.0,2634.0,10002
1012,0,1,Delivered,0.0,,1033.0,1.0,2635.0,10002
1013,0,1,Delivered,0.0,,1033.0,1.0,2636.0,10002
1014,0,1,Delivered,0.0,,710.0,1.0,1003.0,10004
1014_1,0,21,Delivered,0.0,,371.0,21.0,708.0,20002
1014_2,21,1,Delivered,0.0,,710.0,1.0,1003.0,10004
1015,0,1,Delivered,0.0,,371.0,1.0,407.0,20002
1016,0,1,Delivered,0.0,,371.0,1.0,408.0,20002
1017,0,1,Delivered,0.0,,371.0,1.0,409.0,20002
1018,0,1,Delivered,0.0,,376.0,1.0,637.0,20001
1019,0,2,Delivered,0.0,,0.0,2.0,79.0,20002
1020,0,2,Delivered,0.0,,0.0,2.0,104.0,10003
1021,0,2,Delivered,0.0,,0.0,2.0,1354.0,10002
1022,0,2,Delivered,0.0,,0.0,2.0,106.0,10001
1023,0,2,Delivered,0.0,,0.0,2.0,80.0,20002
1024,0,2,Delivered,0.0,,0.0,2.0,4359.0,20005
1025,0,2,Delivered,0.0,,0.0,2.0,458.0,20000
1026,0,2,Delivered,0.0,,0.0,2.0,486.0,20003
1027,0,2,Delivered,0.0,,983.0,2.0,1365.0,10002
1027_1,0,20,Delivered,0.0,,0.0,20.0,984.0,20000
1027_2,20,2,Delivered,0.0,,983.0,2.0,1365.0,10002
1028,0,2,Delivered,0.0,,0.0,2.0,459.0,20000
