time,vehicle_id,node_id,status,num_pickup_tasks,pickup_orders,num_delivery_tasks,delivery_orders,battery
0.0,10000,0.0,Idle,0,[],0,[],100.0
0.0,10000,,En Route,0,[],16,"['Order 1184 - (0, 15)', 'Order 1100 - (0, 8)', 'Order 1145 - (0, 12)', 'Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1149 - (0, 12)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1190 - (0, 15)', 'Order 1191 - (0, 15)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
92.0,10000,15.0,Halted,0,[],16,"['Order 1184 - (0, 15)', 'Order 1100 - (0, 8)', 'Order 1145 - (0, 12)', 'Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1149 - (0, 12)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1190 - (0, 15)', 'Order 1191 - (0, 15)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
93.0,10000,15.0,Halted,0,[],15,"['Order 1100 - (0, 8)', 'Order 1145 - (0, 12)', 'Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1149 - (0, 12)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1190 - (0, 15)', 'Order 1191 - (0, 15)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
94.0,10000,15.0,Halted,0,[],14,"['Order 1100 - (0, 8)', 'Order 1145 - (0, 12)', 'Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1149 - (0, 12)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1191 - (0, 15)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
95.0,10000,15.0,En Route,0,[],13,"['Order 1100 - (0, 8)', 'Order 1145 - (0, 12)', 'Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1149 - (0, 12)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
149.0,10000,8.0,Halted,0,[],13,"['Order 1100 - (0, 8)', 'Order 1145 - (0, 12)', 'Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1149 - (0, 12)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
150.0,10000,8.0,En Route,0,[],12,"['Order 1145 - (0, 12)', 'Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1149 - (0, 12)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
262.0,10000,12.0,Halted,0,[],12,"['Order 1145 - (0, 12)', 'Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1149 - (0, 12)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
263.0,10000,12.0,Halted,0,[],11,"['Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1149 - (0, 12)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
264.0,10000,12.0,En Route,0,[],10,"['Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
399.0,10000,11.0,Halted,0,[],10,"['Order 1130 - (0, 11)', 'Order 1107 - (0, 9)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
400.0,10000,11.0,Halted,0,[],9,"['Order 1107 - (0, 9)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1132 - (0, 11)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
401.0,10000,11.0,En Route,0,[],8,"['Order 1107 - (0, 9)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
433.0,10000,9.0,Halted,0,[],8,"['Order 1107 - (0, 9)', 'Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
434.0,10000,9.0,En Route,0,[],7,"['Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
543.0,10000,12.0,En Route,0,[],7,"['Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
649.0,10000,5.0,Halted,0,[],7,"['Order 1070 - (0, 5)', 'Order 1226 - (0, 17)', 'Order 1071 - (0, 5)', 'Order 1087 - (0, 7)', 'Order 1230 - (0, 17)', 'Order 1231 - (0, 17)', 'Order 1053 - (0, 4)']",100.0
